sentence,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets
"""Being complimented is pleasant.""",0,0,0,0,0,0,0,1
"""People who characteristically do something are more likely to do that sort of thing than other people.""",0,0,0,0,0,0,1,0
"""You light a candle by lighting the wax.""",0,0,0,0,1,0,1,0
"""180 seconds is greater than 3 weeks.""",1,0,0,0,0,1,0,0
"""Chickens are birds that often perch in trees.""",0,0,0,0,1,0,1,1
"""A pocket watch is roughly the size of a golf ball.""",0,0,0,1,1,0,1,1
"""Chewing gum is something humans can do.""",0,0,0,0,1,0,1,0
"""If you are capable of performing an activity, you have the skills required for performing that activity.""",0,0,0,0,0,0,1,0
"""You expect to find a toilet in a kitchen.""",0,0,0,0,0,0,0,1
"""Carpenters can hammer a nail.""",0,0,0,0,1,0,1,0
"""Persons with advanced educations can write.""",0,0,0,0,1,0,1,1
"""You're likely to find a spider web across the door of a busy business.""",0,0,0,1,0,0,1,1
"""Walking can only be done by things that can move their legs.""",0,0,0,0,1,0,1,0
"""Walking on two legs is a type of swimming.""",0,0,0,0,0,0,1,1
"""There is no food that is liked by everyone.""",0,0,0,0,0,0,0,1
"""Drinking vessels can contain liquid.""",0,0,0,1,1,0,1,0
"""If part of a written work contains some information, then the work itself contains that information.""",0,0,0,1,0,0,0,1
"""You can ship a book in a box that is smaller than the book is.""",0,0,0,1,0,0,0,0
"""Someone applying makeup typically wants to be able to see whatever they are putting makeup on.""",0,0,1,0,0,0,1,0
"""Actions that are hostile do not express a feeling of good will.""",0,0,0,0,0,0,1,1
"""London, England is a city.""",0,0,0,0,0,0,1,1
"""You're likely to find silverware in the drawer of a bedroom dresser.""",0,0,0,0,0,0,1,1
"""Touching something that is too hot to touch causes pain.""",0,0,1,0,1,0,1,0
"""The temperature of liquid water is below freezing.""",0,0,0,0,1,0,1,0
"""Most TVs work without being plugged in.""",0,0,0,0,1,0,0,0
"""Objects are not usually found in places where they or their parts would melt.""",0,0,0,1,1,0,1,0
"""A bowling ball could be used as a volley ball in a pinch.""",0,0,0,0,1,0,0,1
"""You can't read a book using a flashlight during a power outage.""",1,0,0,0,1,0,1,0
"""To graduate from a kind of school, you must attend that kind of school.""",1,0,1,0,0,0,1,0
"""Animals don't live where they can't survive for very long.""",0,0,0,0,0,0,1,1
"""Very few airplane pilots know what the controls in the cockpit do.""",0,0,0,0,0,0,1,1
"""A professional singer who lost their vocal cords could still do their job.""",1,0,0,0,1,0,0,1
"""Things that are toxic to humans are typically not ingredients in human food.""",0,0,0,1,0,0,0,1
"""You can use grape soda to rub a stain out of white clothes.""",0,0,0,0,1,0,0,1
"""Stoves cannot be used to generate heat.""",0,0,0,0,1,0,0,1
"""If a body part is necessary for some activity, things that lack that part can't do that activity.""",0,0,0,0,0,0,1,0
"""Most cotton balls are dense, heavy objects.""",0,0,0,0,1,0,1,0
"""When a stove burner is off it is usually too hot to touch.""",0,1,0,0,1,0,0,0
"""Sand castles are typically intended to house humans.""",0,0,0,0,1,0,1,0
"""If a person is wearing a clothing item over the part of the body used to make a facial expression, then others' view of that expression is blocked.""",0,0,0,1,1,0,0,0
"""To function as a paperweight, an object must be at least somewhat heavy.""",0,0,0,0,1,0,1,1
"""Aquatic organisms don't have enough legs to ride a bicycle.""",0,0,0,0,1,0,1,1
"""You can usually eat the materials used to construct buildings intended to shelter humans.""",0,0,0,0,1,0,0,1
"""An observer who is outside an opaque container cannot see something that is completely inside that container.""",0,0,0,1,1,0,0,0
"""Adult animals are typically older than juvenile animals.""",0,0,0,0,0,0,1,1
"""If animals refuse to eat a kind of substance, they typically refuse to eat objects made of that kind of substance.""",0,0,0,0,1,0,0,1
"""Being served things for free typically makes customers happy.""",0,0,1,0,0,0,0,1
"""Milk is a type of dairy product.""",0,0,0,0,0,0,1,1
"""There are no devices that are designed to keep things cool.""",0,0,0,0,1,0,1,1
"""Almost anything which is solid, flat, and lightweight can be used as a tray to carry items smaller than it.""",0,0,0,1,1,0,1,1
"""If A can be stored inside B, then A is smaller than B.""",0,0,0,1,0,0,0,0
"""The sound a flying bee makes is the same as the sound a piano makes.""",0,0,0,0,1,0,0,1
"""A dream is not a physical object.""",0,0,0,0,0,0,1,0
"""Fish can breathe with gills.""",0,0,0,0,1,0,1,0
"""It is common to find books in libraries.""",0,0,0,0,0,0,1,1
"""Wood is never used in building homes.""",0,0,0,0,0,0,0,1
"""If you throw a very fragile object against something as tough as wood, it will probably be damaged.""",0,0,1,1,1,0,0,0
"""The sound of a balloon popping never startles anyone.""",0,0,0,0,1,0,0,0
"""Devices for bathing are typically not found outside rooms designed for bathing.""",0,0,0,1,0,0,0,1
"""Most people like to injure themselves.""",0,0,0,0,0,0,0,1
"""An open container can only hold a liquid if it is right side up.""",0,0,0,1,1,0,0,0
"""Chocolate milk and regular milk are different colors.""",0,0,0,0,0,0,0,1
"""Rooms in buildings typically aren't underwater.""",0,0,0,0,0,0,0,1
"""Clothing items usually aren't edible by humans.""",0,0,0,0,0,0,0,1
