part,question,guid,run_id,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets,,Confidence Rating
a,True or False: Glass window panes are usually transparent.,6ddf74ae-48b7-13d6-80fb-b947c0cf9f4c,410741,,,,,5,,4,4,,5
a,True or False: Wood is often used in building structures.,ca51cf0e-48ba-13d6-80fb-b947c0cf9f4c,410766,,,,,4,,,5,,5
a,True or False: You can put a dream in your pocket.,06d2bc20-50b5-13d6-8052-8f17144fbbc1,411313,,,,4,3,,,4,,1
a,True or False: Pianos make a buzzing sound.,9e4dc680-53d5-13d6-8052-8f17144fbbc1,412289,,3,4,,,,3,,,1
a,True or False: An adult can walk and swim at the same time.,c6686dae-4a6c-13d6-80fb-b947c0cf9f4c,410977,4,4,4,,,,3,3,,3
a,True or False: A popsicle can catch a cold.,48cd3a2e-4a5c-13d6-80fb-b947c0cf9f4c,410950,,,4,,2,,3,4,,5
a,True or False: Chocolate milk is white.,0fe6c2a0-540e-13d6-8052-8f17144fbbc1,413347,,,,,5,,,,,5
a,True or False: You are likely to find a frying pan in a bathroom.,f299e5ae-4a82-13d6-80fb-b947c0cf9f4c,411033,,,,,,,4,5,,3
a,True or False: Barack Obama was president of the United States in the year 1220.,5ffdc58e-504b-13d6-80fb-b947c0cf9f4c,411133,5,4,,,,,3,4,,5
a,"True or False: London, England is located inside a suitcase.",c1007bee-4897-13d6-80fb-b947c0cf9f4c,410619,,,,5,,,5,,,5
