,question,guid,run_id,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets,label,prediction,confidence,robertascore
a,True or False: The sound of a balloon popping can be loud.,d8d7400e-4a6d-13d6-80fb-b947c0cf9f4c,410984,0,1,2,0,4,0,2,2,0,0,0.7587233186,0.0869280201
a,True or False: You can serve orange juice in a coffee mug.,edde85ce-48e8-13d6-80fb-b947c0cf9f4c,410851,0,0,3,3,3,0,3,3,0,1,0.4101724327,0.1715141635
a,True or False: Coffee mixed with cream is black.,9f8de7a0-53d5-13d6-8052-8f17144fbbc1,412348,0,1,2,0,4,0,3,1,1,1,0.9376841784,0.008822009539
a,True or False: Cuddling is typically an expression of hatred.,ca2b6c0e-489e-13d6-80fb-b947c0cf9f4c,410657,0,1,3,0,0,0,3,1,1,1,0.913007319,0.001046617979
a,True or False: A puppy is older than an adult dog.,0d86ba0e-4a01-13d6-80fb-b947c0cf9f4c,410890,4,1,0,0,2,2,3,2,1,0,0.4924092293,0.2030199469
a,True or False: People with buzz cuts have very long hair.,9e0aa300-53d5-13d6-8052-8f17144fbbc1,412274,0,0,0,0,4,1,4,4,1,1,0.7279464602,0.01820349305
a,"True or False: If a chicken lays an egg, then the chicken existed before the egg.",6ae21ba0-5067-13d6-8052-8f17144fbbc1,411175,4,2,5,0,1,0,1,2,0,0,0.9503709674,0.1888884867
a,"True or False: Generally, winter coats are warm clothing.",1d2bc260-5366-13d6-8052-8f17144fbbc1,412076,1,1,0,0,3,0,3,4,0,1,0.08171221614,0.1249841508
a,True or False: A fish can ride a bicycle.,d89e2eae-4a6d-13d6-80fb-b947c0cf9f4c,410983,0,1,2,0,4,0,3,4,1,1,0.7735646963,0.04400538333
a,True or False: Snakes can juggle.,6ef53080-5515-13d6-8052-8f17144fbbc1,413943,0,1,2,0,4,0,2,3,1,1,0.7401989698,0.006173092872
a,"True or False: If you throw a wine glass against a wooden floor, it will probably shatter.",4e86320e-4a84-13d6-80fb-b947c0cf9f4c,411046,0,3,4,2,5,0,1,2,0,0,0.9312396646,0.07691409712
a,True or False: Absolutely everyone likes blueberries.,76ec194e-48bc-13d6-80fb-b947c0cf9f4c,410770,0,0,0,0,0,1,2,5,1,1,0.5595517755,0.1659151629
a,True or False: Ice water is colder than ice.,293deb18-5d0f-13d6-80dc-9b4eb6100834,416942,0,1,0,0,4,1,2,2,1,1,0.5065770745,0.05150657187
a,True or False: Stabbing someone typically expresses love.,237b7f2e-489f-13d6-80fb-b947c0cf9f4c,410661,0,1,3,0,1,0,2,2,1,1,0.6438418627,0.1155214872
a,"True or False: If a cup contains hot coffee, then the cup is presumably right side up.",518952ee-48a2-13d6-80fb-b947c0cf9f4c,410671,0,3,1,4,3,0,1,0,0,0,0.9268989563,0.09198763771
a,True or False: An adult can walk and chew gum at the same time.,3fa9564e-4a52-13d6-80fb-b947c0cf9f4c,410921,4,2,4,0,3,0,1,2,0,1,0.2411179096,0.1659064541
a,True or False: People like being complimented.,f798354e-48d7-13d6-80fb-b947c0cf9f4c,410835,0,0,3,0,0,0,3,4,0,0,0.9997021556,0.001937435851
a,True or False: You can stab someone with a wet noodle.,9dddf320-50b3-13d6-8052-8f17144fbbc1,411304,0,1,2,0,4,0,1,2,1,1,0.7384853363,0.09480986101
a,True or False: Stoves are meant to be used in cooking food.,42f658c0-5695-13d6-8052-8f17144fbbc1,415183,0,0,2,0,4,0,4,3,0,0,0.7510462403,0.1525330004
a,True or False: A wax candle would work even if it had no wick.,9ebc3fc0-53d5-13d6-8052-8f17144fbbc1,412301,0,2,1,0,4,0,2,1,1,0,0.02826437168,0.08148384388
a,"True or False: If something is a free gift, you don't have to pay for it.",3375aa6e-48d4-13d6-80fb-b947c0cf9f4c,410824,0,1,2,0,0,1,2,1,0,0,0.8600564599,0.02206463386
a,True or False: You can use a cotton ball as a paperweight.,0b3ea600-59ae-13d6-8052-8f17144fbbc1,415315,0,1,1,1,5,0,2,5,1,0,0.4933578968,0.009860674307
a,True or False: Women typically put on makeup without a mirror.,9fd94880-53d5-13d6-8052-8f17144fbbc1,412370,0,2,4,0,1,1,1,3,1,1,0.5373720527,0.1327881465
a,True or False: Refrigerators are used to keep things cool.,809cd90e-48b4-13d6-80fb-b947c0cf9f4c,410724,0,2,1,0,4,0,2,2,0,0,0.9338299036,0.02381885749
a,True or False: A moth ball can be used as a volley ball in a pinch.,28becac0-50ad-13d6-8052-8f17144fbbc1,411279,0,0,0,2,5,0,3,4,1,0,0.2783312201,0.02913958068
a,True or False: You can see someone's smile even when they are wearing a surgical mask.,59b4fde0-53d0-13d6-8052-8f17144fbbc1,412246,0,0,2,1,4,0,1,1,1,0,0.1034564674,0.08256970637
a,True or False: A customer would like being offered free dessert.,326524ce-48d4-13d6-80fb-b947c0cf9f4c,410820,0,1,4,0,0,0,2,2,0,1,0.1377939582,0.0333294657
a,"True or False: Every cotton ball is a lightweight, relatively small object.",0b7d83c0-59ae-13d6-8052-8f17144fbbc1,415316,0,0,0,3,4,0,3,3,0,0,0.5405356288,0.01463390374
a,True or False: You typically can't see what's inside of a sealed can.,62b4a16e-48a6-13d6-80fb-b947c0cf9f4c,410694,0,2,2,4,4,0,2,1,0,0,0.9376395345,0.0008332979673
a,True or False: A few weeks is greater than a few minutes.,3bf61d40-50ae-13d6-8052-8f17144fbbc1,411285,4,0,0,0,0,4,1,1,0,0,0.5794696212,0.006866784123
a,True or False: Grandfather clocks are bigger than pocket watches.,f0efcbce-4898-13d6-80fb-b947c0cf9f4c,410626,0,0,0,4,3,2,3,2,0,1,0.3780866563,0.184538005
a,"True or False: When dining at a fast-food restaurant, you are usually seated before ordering food.",e0a0ff00-53a5-13d6-8052-8f17144fbbc1,412216,4,2,5,1,0,0,2,0,1,1,0.8293727636,0.08028366216
a,"True or False: If you spill grape soda on white clothes, it usually won't stain them.",9f29cea0-53d5-13d6-8052-8f17144fbbc1,412331,0,3,4,0,3,0,2,2,1,0,0.411275208,0.06811527374
a,"True or False: When Duke changed the tire on his car, he lifted the car with the jack after removing the old tire.",e1d4e92e-4a75-13d6-80fb-b947c0cf9f4c,410988,3,1,5,1,3,0,2,1,1,0,0.04912681505,0.1934727741
a,True or False: Dolphins sleep in bedrooms.,42d2a0a0-50a1-13d6-8052-8f17144fbbc1,411247,1,1,3,1,1,0,1,3,1,0,0.2829809785,0.06187664892
a,"True or False: Generally, people with athletic physiques are not overweight.",57e50e38-5b89-13d6-80dc-9b4eb6100834,415517,0,0,0,0,2,0,3,5,0,0,0.7856633663,0.01778569363
a,True or False: Sand castles are almost always bigger than people .,79bfb1b8-5bc3-13d6-80dc-9b4eb6100834,416285,0,0,0,4,4,0,2,2,1,0,0.3516721129,0.03384923
a,True or False: Being sick is usually unpleasant for people.,e260122e-4a75-13d6-80fb-b947c0cf9f4c,410990,0,3,3,0,1,0,1,3,0,0,0.7677900195,0.006979573926
a,"True or False: If Joy is on the first floor, and Rob is on the second floor, then Joy is above Rob.",74fac4a0-56a4-13d6-8052-8f17144fbbc1,415217,0,1,0,5,1,1,2,1,1,0,0.1883623898,0.002418740384
a,True or False: Bedroom dressers are typically used to store clothes.,e23c5d8e-4a75-13d6-80fb-b947c0cf9f4c,410989,0,0,0,2,4,0,4,2,0,1,0.320379287,0.1671610727
a,True or False: A human would not mind touching a burner while the stove is on.,42b02800-5695-13d6-8052-8f17144fbbc1,415181,3,3,3,0,4,0,1,3,1,1,0.6313261986,0.0132352796
a,True or False: Styrofoam peanuts are often used to protect fragile objects during transport.,1ba84018-5d03-13d6-80dc-9b4eb6100834,416837,1,2,1,0,5,0,4,2,0,0,0.6425643563,0.1438024904
a,True or False: Objects usually cannot fit inside anything that is smaller than they are.,c2c5f9ae-4897-13d6-80fb-b947c0cf9f4c,410625,0,0,0,4,2,0,1,1,0,0,0.9905651808,0.09529000243
a,"True or False: When you encounter a bird, you expect to be able to see its heart.",0373de78-5be4-13d6-80dc-9b4eb6100834,416339,1,2,2,0,4,0,0,0,1,0,0.003148754593,0.0432030844
a,True or False: Pet food is not intended for human consumption.,b6c5e1ce-4896-13d6-80fb-b947c0cf9f4c,410618,0,1,0,0,3,0,3,3,0,0,0.9966178536,0.1523063795
a,True or False: Viruses can't sing.,a91c050e-4a57-13d6-80fb-b947c0cf9f4c,410939,0,0,1,0,1,0,4,1,0,1,0.4307319522,0.0003477914724
a,True or False: Gloves are typically worn on feet.,a0330140-53d5-13d6-8052-8f17144fbbc1,412389,0,1,0,3,3,0,3,4,1,1,0.8713570833,0.004798189895
a,"True or False: Animal fur, feathers, and skin are usually not see through.",03b3a698-5be4-13d6-80dc-9b4eb6100834,416341,0,1,0,1,4,0,4,1,0,0,0.7219693661,0.006155453589
a,"True or False: If someone is allergic to dairy, they shouldn't drink milk.",f0da3620-5058-13d6-8052-8f17144fbbc1,411154,0,1,3,0,2,0,4,3,0,0,0.9939985275,0.2443137647
a,True or False: The same region cannot have both a dry climate and a rainy climate at the same time.,98da8ee0-59bb-13d6-8052-8f17144fbbc1,415463,3,3,1,2,2,0,0,3,0,0,0.7825262547,0.01622587032
a,"True or False: If someone is capable of playing ice hockey, are they capable of ice skating.",30150ba0-5098-13d6-8052-8f17144fbbc1,411200,0,1,3,0,1,0,3,3,0,1,0.2180085182,0.2166961018
a,True or False: You are more likely to find a book in a library than in a tree.,932de1f8-5cd9-13d6-80dc-9b4eb6100834,416611,0,1,1,3,2,0,1,3,0,0,0.5848683715,0.0002994364645
a,True or False: A stove burner that is on is usually too hot to touch.,43b95aa0-5695-13d6-8052-8f17144fbbc1,415185,0,2,3,0,4,0,3,2,0,1,0.2678864002,0.04721111028
a,True or False: Chickens are typically found on the ground rather than in the air.,1ba92d4e-48b0-13d6-80fb-b947c0cf9f4c,410714,0,2,0,2,3,0,2,3,0,0,0.7321899533,0.008768111694
a,True or False: Airplane pilots frequently fly planes.,01020aa0-509a-13d6-8052-8f17144fbbc1,411219,1,1,3,0,2,0,3,2,0,0,0.9593182802,0.07112606908
a,True or False: Cyanide is an ingredient in ice cream.,9043b3ce-489f-13d6-80fb-b947c0cf9f4c,410666,0,1,0,1,4,0,3,2,1,1,0.6926376224,0.195356357
a,True or False: Animals breathe without thinking about it.,93200aae-489d-13d6-80fb-b947c0cf9f4c,410656,0,2,3,0,1,0,3,0,0,0,0.9701699018,0.0005981198763
a,True or False: Surgeons can write.,4929d820-5078-13d6-8052-8f17144fbbc1,411190,0,0,2,0,2,0,4,2,0,1,0.1730527282,0.0001281059146
a,True or False: To become a doctor you have to received an advanced education.,49c1d260-5078-13d6-8052-8f17144fbbc1,411191,1,1,3,0,0,0,3,2,0,0,0.5955765843,0.09993271357
a,True or False: Newspapers contain news.,4543aaee-48bf-13d6-80fb-b947c0cf9f4c,410799,0,1,0,1,3,0,3,2,0,0,0.976913631,0.006286888636
a,True or False: The Atlantic ocean is wet.,10e704ee-48b5-13d6-80fb-b947c0cf9f4c,410727,0,2,0,1,3,0,4,2,0,0,0.5948540568,0.01466640879
a,True or False: Most kitchens are not bathrooms.,63c3b5ce-4a7a-13d6-80fb-b947c0cf9f4c,411009,0,1,0,1,2,1,3,5,0,0,0.8864443302,0.03093091902
a,True or False: People often eat ceramic plates.,456b83f8-5d29-13d6-80dc-9b4eb6100834,417116,1,1,0,0,3,0,3,2,1,0,0.3663477302,0.01652797872
a,True or False: You are likely to find a bathtub in a kitchen.,6226808e-4a7a-13d6-80fb-b947c0cf9f4c,411001,0,1,0,4,2,0,4,3,1,1,0.941397965,0.07918412727
a,True or False: Someone born without eyes could still drive a car.,a8cc104e-4a57-13d6-80fb-b947c0cf9f4c,410937,0,1,3,0,4,0,3,1,1,0,0.4372097254,0.08409200447
a,True or False: Hot sauce is bland.,72aab82e-4892-13d6-80fb-b947c0cf9f4c,410593,0,0,0,0,2,0,3,2,1,1,0.7846592665,0.0417658313
a,True or False: Glass window panes are usually transparent.,6ddf74ae-48b7-13d6-80fb-b947c0cf9f4c,410741,0,1,0,0,4,1,4,2,0,1,0.3286672235,0.001269921511
a,True or False: Wood is often used in building structures.,ca51cf0e-48ba-13d6-80fb-b947c0cf9f4c,410766,1,1,1,1,4,0,2,4,0,0,0.7062010169,0.1437832429
a,True or False: You can put a dream in your pocket.,06d2bc20-50b5-13d6-8052-8f17144fbbc1,411313,0,0,1,4,2,0,3,1,1,1,0.7898117304,0.02575124607
a,True or False: Pianos make a buzzing sound.,9e4dc680-53d5-13d6-8052-8f17144fbbc1,412289,0,0,2,0,4,0,4,0,1,0,0.3053259254,0.02416129909
a,True or False: An adult can walk and swim at the same time.,c6686dae-4a6c-13d6-80fb-b947c0cf9f4c,410977,4,3,4,0,3,0,3,1,1,1,0.8623858094,0.01511839754
a,True or False: A popsicle can catch a cold.,48cd3a2e-4a5c-13d6-80fb-b947c0cf9f4c,410950,0,1,2,0,3,0,4,1,1,1,0.7997285724,0.02255343005
a,True or False: Chocolate milk is white.,0fe6c2a0-540e-13d6-8052-8f17144fbbc1,413347,0,0,0,0,3,0,3,1,1,1,0.9076502323,0.07657408837
a,True or False: You are likely to find a frying pan in a bathroom.,f299e5ae-4a82-13d6-80fb-b947c0cf9f4c,411033,0,1,0,2,1,0,3,3,1,1,0.9022162557,0.09197295759
a,True or False: Barack Obama was president of the United States in the year 1220.,5ffdc58e-504b-13d6-80fb-b947c0cf9f4c,411133,5,3,2,0,1,0,3,1,1,1,0.8877847791,0.004006915505
a,"True or False: London, England is located inside a suitcase.",c1007bee-4897-13d6-80fb-b947c0cf9f4c,410619,0,0,0,5,1,0,4,1,1,0,0.4369866848,0.0431030138
