,question,guid,run_id,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets,label,prediction,confidence,robertascore
b,"True or False: If you are capable of performing an activity, you have the skills required for performing that activity.",30f161e0-5098-13d6-8052-8f17144fbbc1,411204,0,0,2,0,0,0,2,2,0,0,0.9997351766,0.08291888291
b,True or False: You expect to find a toilet in a kitchen.,8202e600-53d9-13d6-8052-8f17144fbbc1,412787,0,0,0,2,2,0,4,2,1,1,0.8309603333,0.06689926072
b,True or False: Carpenters can hammer a nail.,92a384ae-48be-13d6-80fb-b947c0cf9f4c,410791,0,0,2,0,3,0,4,1,0,1,0.4200777411,0.02814179904
b,True or False: Persons with advanced educations can write.,4a357bc0-5078-13d6-8052-8f17144fbbc1,411193,0,1,0,0,1,0,3,2,0,1,0.2400695086,0.003467769933
b,True or False: You're likely to find a spider web across the door of a busy business.,04da6420-540e-13d6-8052-8f17144fbbc1,413241,0,2,1,2,3,0,4,0,1,1,0.8040521145,0.09165675091
b,True or False: Walking can only be done by things that can move their legs.,7de8ace0-5518-13d6-8052-8f17144fbbc1,413954,0,1,1,0,4,0,4,2,0,0,0.6817461848,0.05039838941
b,True or False: Walking on two legs is a type of swimming.,c6d6e6ee-4a6c-13d6-80fb-b947c0cf9f4c,410978,0,0,0,0,2,0,4,3,1,1,0.6898121238,0.1344046653
b,True or False: There is no food that is liked by everyone.,776233ae-48bc-13d6-80fb-b947c0cf9f4c,410774,0,0,0,0,2,1,2,3,0,0,0.9310705066,0.01403613919
b,True or False: Drinking vessels can contain liquid.,ef47d9ce-48e8-13d6-80fb-b947c0cf9f4c,410858,0,0,0,3,4,0,4,1,0,0,0.850384295,0.007123816402
b,"True or False: If part of a written work contains some information, then the work itself contains that information.",48432f4e-48bf-13d6-80fb-b947c0cf9f4c,410803,0,0,0,2,1,0,1,5,0,0,0.646086216,0.1538315597
b,True or False: You can ship a book in a box that is smaller than the book is.,8e24c020-556e-13d6-8052-8f17144fbbc1,414300,0,1,2,5,2,0,1,2,1,1,0.8151803613,0.03615098788
b,True or False: Someone applying makeup typically wants to be able to see whatever they are putting makeup on.,9ff730c0-53d5-13d6-8052-8f17144fbbc1,412379,0,2,4,1,2,0,3,1,0,0,0.6531053782,0.1937268461
b,True or False: Actions that are hostile do not express a feeling of good will.,23e823ae-489f-13d6-80fb-b947c0cf9f4c,410665,0,1,2,0,0,0,4,3,0,0,0.9976982474,0.01301772504
b,"True or False: London, England is a city.",c22fd42e-4897-13d6-80fb-b947c0cf9f4c,410622,0,1,0,1,3,0,5,2,0,0,0.8233083487,0.06896971203
b,True or False: You're likely to find silverware in the drawer of a bedroom dresser.,9ed10040-53d5-13d6-8052-8f17144fbbc1,412308,0,0,1,3,3,0,4,3,1,1,0.7256699204,0.06083379266
b,True or False: Touching something that is too hot to touch causes pain.,43d6a6a0-5695-13d6-8052-8f17144fbbc1,415188,0,1,3,0,3,1,2,1,0,0,0.9406017661,0.07694707875
b,True or False: The temperature of liquid water is below freezing.,2a43c258-5d0f-13d6-80dc-9b4eb6100834,416943,0,1,0,0,4,3,2,1,1,1,0.7010261416,0.08520328107
b,True or False: Most TVs work without being plugged in.,2d8b4800-524f-13d6-8052-8f17144fbbc1,411849,0,1,2,0,4,0,3,2,1,0,0.2865948081,0.1645330857
b,True or False: Objects are not usually found in places where they or their parts would melt.,a0da62a0-58a8-13d6-8052-8f17144fbbc1,415225,0,2,1,3,3,0,4,3,0,0,0.9469568729,0.009383543549
b,True or False: A bowling ball could be used as a volley ball in a pinch.,1049a320-540e-13d6-8052-8f17144fbbc1,413353,1,0,0,2,4,0,3,2,1,0,0.318300426,0.002922557637
b,True or False: You can't read a book using a flashlight during a power outage.,29c2f560-524f-13d6-8052-8f17144fbbc1,411826,4,1,4,0,3,0,2,1,1,1,0.5774400234,0.156421896
b,"True or False: To graduate from a kind of school, you must attend that kind of school.",c07ff2ce-4a6f-13d6-80fb-b947c0cf9f4c,410987,1,3,4,0,0,0,2,1,0,0,0.9680887461,0.03447397989
b,True or False: Animals don't live where they can't survive for very long.,3d2b9000-50ae-13d6-8052-8f17144fbbc1,411289,1,3,3,1,1,0,1,1,0,0,0.8755390644,0.03256484747
b,True or False: Very few airplane pilots know what the controls in the cockpit do.,aff514b8-5be0-13d6-80dc-9b4eb6100834,416300,0,1,0,1,1,1,2,1,1,0,0.1591287106,0.1257316957
b,True or False: A professional singer who lost their vocal cords could still do their job.,e05dd3c0-55cf-13d6-8052-8f17144fbbc1,414988,2,0,2,0,2,0,1,2,1,1,0.8297336698,0.1223546635
b,True or False: Things that are toxic to humans are typically not ingredients in human food.,909f414e-489f-13d6-80fb-b947c0cf9f4c,410670,0,0,0,1,3,0,3,3,0,0,0.9602190256,0.03927886556
b,True or False: You can use grape soda to rub a stain out of white clothes.,9f493d80-53d5-13d6-8052-8f17144fbbc1,412338,0,0,0,0,4,0,3,2,1,1,0.6251319051,0.06959601991
b,True or False: Stoves cannot be used to generate heat.,456beca0-5695-13d6-8052-8f17144fbbc1,415197,0,0,0,0,3,0,2,3,1,1,0.6189684272,0.1594095155
b,"True or False: If a body part is necessary for some activity, things that lack that part can't do that activity.",7179b880-5515-13d6-8052-8f17144fbbc1,413948,0,1,1,0,3,0,3,1,0,0,0.9960463643,0.010203504
b,"True or False: Most cotton balls are dense, heavy objects.",0e9bdac0-59ae-13d6-8052-8f17144fbbc1,415320,0,0,0,2,3,1,4,2,1,1,0.8507543206,0.003804388424
b,True or False: When a stove burner is off it is usually too hot to touch.,44d8d460-5695-13d6-8052-8f17144fbbc1,415194,1,3,1,0,4,0,2,0,1,1,0.6075798273,0.04809618646
b,True or False: Sand castles are typically intended to house humans.,79de3638-5bc3-13d6-80dc-9b4eb6100834,416286,0,2,0,2,3,0,3,2,1,1,0.9420301318,0.0506076945
b,"True or False: If a person is wearing a clothing item over the part of the body used to make a facial expression, then others' view of that expression is blocked.",5e9d6680-53d0-13d6-8052-8f17144fbbc1,412256,0,2,0,2,3,0,1,0,0,0,0.953492105,0.08541161965
b,"True or False: To function as a paperweight, an object must be at least somewhat heavy.",0e6895c0-59ae-13d6-8052-8f17144fbbc1,415318,0,1,0,0,3,1,3,3,0,0,0.6609249115,0.08410133373
b,True or False: Aquatic organisms don't have enough legs to ride a bicycle.,d8e28aae-4a6d-13d6-80fb-b947c0cf9f4c,410985,0,0,1,0,2,0,4,3,0,0,0.5181812048,0.01216199925
b,True or False: You can usually eat the materials used to construct buildings intended to shelter humans.,23e14058-5bb0-13d6-80dc-9b4eb6100834,415962,0,1,0,0,4,0,3,3,1,1,0.9489026666,0.09444129667
b,True or False: An observer who is outside an opaque container cannot see something that is completely inside that container.,632a1f8e-48a6-13d6-80fb-b947c0cf9f4c,410698,0,1,0,4,4,0,1,1,0,0,0.9871894717,0.09051758192
b,True or False: Adult animals are typically older than juvenile animals.,0ea151ce-4a01-13d6-80fb-b947c0cf9f4c,410895,2,0,0,0,1,2,3,2,0,0,0.8076609969,0.1916810021
b,"True or False: If animals refuse to eat a kind of substance, they typically refuse to eat objects made of that kind of substance.",45233058-5d29-13d6-80dc-9b4eb6100834,417113,0,0,3,0,2,0,2,2,0,0,0.993332088,0.1979107718
b,True or False: Being served things for free typically makes customers happy.,338058ce-48d4-13d6-80fb-b947c0cf9f4c,410825,0,1,4,0,0,1,2,2,0,1,0.02877126448,0.001928933514
b,True or False: Milk is a type of dairy product.,f20dd420-5058-13d6-8052-8f17144fbbc1,411159,0,0,0,0,2,0,4,3,0,0,0.9694033861,0.1096981532
b,True or False: There are no devices that are designed to keep things cool.,4e471780-55ca-13d6-8052-8f17144fbbc1,414801,0,0,1,0,3,1,3,4,1,1,0.864739418,0.03193100333
b,"True or False: Almost anything which is solid, flat, and lightweight can be used as a tray to carry items smaller than it.",4fc292a0-59a9-13d6-8052-8f17144fbbc1,415309,0,1,1,4,4,0,3,3,0,0,0.7000447512,0.0189397378
b,"True or False: If A can be stored inside B, then A is smaller than B.",f050e340-5097-13d6-8052-8f17144fbbc1,411209,0,0,0,5,1,1,0,1,0,1,0.09909787029,0.005381031962
b,True or False: The sound a flying bee makes is the same as the sound a piano makes.,9e85ed80-53d5-13d6-8052-8f17144fbbc1,412293,0,0,0,0,3,0,4,3,1,0,0.1421957761,0.0001848009835
b,True or False: A dream is not a physical object.,081e7600-50b5-13d6-8052-8f17144fbbc1,411315,0,0,0,0,2,0,4,2,0,0,0.9375911355,0.04758901163
b,True or False: Fish can breathe with gills.,6a0da4ce-48ba-13d6-80fb-b947c0cf9f4c,410763,0,0,2,0,3,0,4,1,0,0,0.7757462859,0.0302409269
b,True or False: It is common to find books in libraries.,942f7378-5cd9-13d6-80dc-9b4eb6100834,416617,0,1,0,3,3,0,3,2,0,0,0.861733377,0.0380494685
b,True or False: Wood is never used in building homes.,2c288300-55d9-13d6-8052-8f17144fbbc1,415090,0,0,0,0,3,1,2,2,1,0,0.3540517092,0.1184827799
b,"True or False: If you throw a very fragile object against something as tough as wood, it will probably be damaged.",5270b2ae-4a84-13d6-80fb-b947c0cf9f4c,411053,0,3,4,1,5,0,1,0,0,0,0.87797153,0.04412573386
b,True or False: The sound of a balloon popping never startles anyone.,764d4b20-5258-13d6-8052-8f17144fbbc1,412019,0,0,3,0,2,0,2,1,1,0,0.1811360866,0.1136755337
b,True or False: Devices for bathing are typically not found outside rooms designed for bathing.,63ceb24e-4a7a-13d6-80fb-b947c0cf9f4c,411010,0,1,0,4,3,0,2,2,0,0,0.5849305987,0.02504113413
b,True or False: Most people like to injure themselves.,2e1ed560-5584-13d6-8052-8f17144fbbc1,414683,0,1,0,0,0,0,1,4,1,1,0.5413036942,0.08594007495
b,True or False: An open container can only hold a liquid if it is right side up.,5297196e-48a2-13d6-80fb-b947c0cf9f4c,410680,0,1,1,4,4,0,1,0,0,1,0.4954718947,0.04191535244
b,True or False: Chocolate milk and regular milk are different colors.,289c9cc0-50ad-13d6-8052-8f17144fbbc1,411278,0,0,0,0,3,0,2,2,0,1,0.4273361564,0.2642014135
b,True or False: Rooms in buildings typically aren't underwater.,43cabc40-50a1-13d6-8052-8f17144fbbc1,411254,0,2,0,2,2,0,0,3,0,0,0.8063000441,0.0110330181
b,True or False: Clothing items usually aren't edible by humans.,ac9cad40-509d-13d6-8052-8f17144fbbc1,411237,0,1,0,0,3,0,3,3,0,0,0.7962532043,0.0172308466
