sentence,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets
"""Dolphins sleep in bedrooms.""",0,1,0,0,1,0,1,0
"""Generally, people with athletic physiques are not overweight.""",0,0,0,0,0,0,1,1
"""Sand castles are almost always bigger than people .""",0,0,0,1,1,0,1,1
"""Being sick is usually unpleasant for people.""",0,0,0,0,1,0,1,1
"""If Joy is on the first floor, and Rob is on the second floor, then Joy is above Rob.""",0,1,0,1,0,1,0,0
"""Bedroom dressers are typically used to store clothes.""",0,0,0,0,0,0,1,0
"""A human would not mind touching a burner while the stove is on.""",1,1,1,0,1,0,0,0
"""Styrofoam peanuts are often used to protect fragile objects during transport.""",0,0,0,0,1,0,1,1
"""Objects usually cannot fit inside anything that is smaller than they are.""",0,0,0,1,0,0,0,0
"""When you encounter a bird, you expect to be able to see its heart.""",0,0,0,0,1,0,0,0
"""Pet food is not intended for human consumption.""",0,0,0,0,0,0,1,1
"""Viruses can't sing.""",0,0,0,0,1,0,1,0
"""Gloves are typically worn on feet.""",0,0,0,1,0,0,1,0
"""Animal fur, feathers, and skin are usually not see through.""",0,0,0,0,1,0,0,0
"""If someone is allergic to dairy, they shouldn't drink milk.""",0,0,1,0,1,0,1,1
"""The same region cannot have both a dry climate and a rainy climate at the same time.""",1,1,0,1,0,0,0,1
"""If someone is capable of playing ice hockey, are they capable of ice skating.""",0,0,0,0,0,0,1,0
"""You are more likely to find a book in a library than in a tree.""",0,0,0,1,0,0,1,1
"""A stove burner that is on is usually too hot to touch.""",0,1,0,0,1,0,1,1
"""Chickens are typically found on the ground rather than in the air.""",0,0,0,1,0,0,1,0
"""Airplane pilots frequently fly planes.""",0,0,0,0,0,0,1,0
"""Cyanide is an ingredient in ice cream.""",0,0,0,0,1,0,1,1
"""Animals breathe without thinking about it.""",0,0,1,0,1,0,1,0
"""Surgeons can write.""",0,0,0,0,1,0,1,1
"""To become a doctor you have to received an advanced education.""",1,0,1,0,0,0,1,0
"""Newspapers contain news.""",0,0,0,0,0,0,1,0
"""The Atlantic ocean is wet.""",0,0,0,0,1,0,1,1
"""Most kitchens are not bathrooms.""",0,0,0,0,0,0,0,1
"""People often eat ceramic plates.""",0,0,0,0,1,0,0,1
"""You are likely to find a bathtub in a kitchen.""",0,0,0,1,0,0,1,1
"""Someone born without eyes could still drive a car.""",0,0,0,0,1,0,0,0
"""Hot sauce is bland.""",0,0,0,0,0,0,1,0
"""Glass window panes are usually transparent.""",0,0,0,0,1,0,1,0
"""Wood is often used in building structures.""",0,0,0,0,1,0,1,1
"""You can put a dream in your pocket.""",0,0,0,1,1,0,1,0
"""Pianos make a buzzing sound.""",0,0,0,0,1,0,1,0
"""An adult can walk and swim at the same time.""",1,0,1,0,1,0,0,0
"""A popsicle can catch a cold.""",0,0,0,0,1,0,1,0
"""Chocolate milk is white.""",0,0,0,0,0,0,1,0
"""You are likely to find a frying pan in a bathroom.""",0,0,0,0,0,0,1,1
"""Barack Obama was president of the United States in the year 1220.""",1,1,0,0,0,0,1,0
"""London, England is located inside a suitcase.""",0,0,0,1,1,0,1,0
"""If you have a buzz cut, you can put your hair in a pony tail to keep it out of your eyes.""",0,0,0,0,1,0,1,0
"""In most buildings, the second floor is below the first floor.""",0,0,0,1,0,1,0,0
"""Cat food is probably on the menu at most restaurants.""",0,0,0,0,1,0,0,1
"""Most things without eyes don't cry.""",0,0,0,0,1,0,1,1
"""If you want an athletic physique, you should probably try to significantly increase the amount of fat on your body.""",0,0,0,0,0,0,1,0
"""A cowboy hat won't shade your face from the sun.""",0,0,0,0,1,0,1,0
"""Viruses have mouths.""",0,0,0,0,0,0,1,0
"""Those not yet born cannot be senior executives.""",0,0,0,0,0,0,1,1
"""If clothing item A is worn over clothing item B, then you do not put on A before putting on B.""",1,0,1,1,0,0,0,0
"""Cooked noodles are not rigid.""",0,0,0,0,1,0,1,0
"""The Atlantic Ocean is a body of water.""",0,0,0,0,1,0,1,1
"""Most doctors haven't gone to college.""",0,0,0,0,0,0,1,1
"""You have to decide to take a breath before you can do it.""",1,0,1,0,1,0,0,0
"""Mixing cream in coffee doesn't change its color.""",0,0,0,1,1,0,0,0
"""If you are drinking beer, you are drinking something carbonated.""",0,0,0,0,1,0,1,1
"""Internal parts of opaque objects are not visible from the outside.""",0,0,0,1,1,0,0,0
"""Phoenix, AZ currently has both a dry climate and a rainy climate.""",0,1,0,0,1,0,0,1
"""Most people are excited to learn they caught the flu on vacation.""",1,0,1,0,0,0,1,1
"""To see what is on the other side of a glass window, you usually have to open it.""",0,0,0,1,1,0,0,0
"""A feeling of love is the opposite of a feeling of hate.""",0,0,0,0,0,0,0,1
"""People don't like things they find disgusting.""",0,0,0,0,0,0,1,1
"""Wearing gloves will help keep your feet from getting cold.""",0,0,0,0,1,0,1,0
"""In a typical house, there are no rooms that have been designed for a particular purpose.""",0,0,0,1,0,0,1,1
"""Sue couldn't afford the free gift because it was too expensive.""",0,0,0,0,0,0,1,0
"""When changing a tire, the tire is removed after the automobile is raised with a jack.""",1,0,1,0,0,0,0,0
"""Winter coats are for summer.""",0,0,0,0,0,0,1,1
"""No utensil is a spoon.""",0,0,0,0,0,0,0,1
"""Blind people cannot drive.""",0,0,0,0,1,0,1,0
"""Kitchen tools are intended to be used in preparing food or drinks.""",0,0,1,0,0,0,1,1
"""You don't expect ice rinks to be slippery.""",0,0,0,0,1,0,0,0
"""Every popsicle is frozen food.""",0,0,0,0,1,0,1,1
"""If A creates B, then A must exist before B.""",1,0,1,0,0,0,0,0
"""Styrofoam peanuts are too light to be used as packaging material.""",0,0,0,0,1,0,1,1
"""Animal skin is frequently completely transparent.""",0,0,0,0,1,0,0,0
"""At fast food restaurants you typically order at a counter or a drive-through.""",0,0,0,0,0,0,1,0
"""No spicy thing is bland.""",0,0,0,0,0,0,1,1
"""Being complimented is pleasant.""",0,0,0,0,0,0,0,1
"""People who characteristically do something are more likely to do that sort of thing than other people.""",0,0,0,0,0,0,1,0
"""You light a candle by lighting the wax.""",0,0,0,0,1,0,1,0
"""180 seconds is greater than 3 weeks.""",1,0,0,0,0,1,0,0
"""Chickens are birds that often perch in trees.""",0,0,0,0,1,0,1,1
"""A pocket watch is roughly the size of a golf ball.""",0,0,0,1,1,0,1,1
"""Chewing gum is something humans can do.""",0,0,0,0,1,0,1,0
"""If you are capable of performing an activity, you have the skills required for performing that activity.""",0,0,0,0,0,0,1,0
"""You expect to find a toilet in a kitchen.""",0,0,0,0,0,0,0,1
"""Carpenters can hammer a nail.""",0,0,0,0,1,0,1,0
"""Persons with advanced educations can write.""",0,0,0,0,1,0,1,1
"""You're likely to find a spider web across the door of a busy business.""",0,0,0,1,0,0,1,1
"""Walking can only be done by things that can move their legs.""",0,0,0,0,1,0,1,0
"""Walking on two legs is a type of swimming.""",0,0,0,0,0,0,1,1
"""There is no food that is liked by everyone.""",0,0,0,0,0,0,0,1
"""Drinking vessels can contain liquid.""",0,0,0,1,1,0,1,0
"""If part of a written work contains some information, then the work itself contains that information.""",0,0,0,1,0,0,0,1
"""You can ship a book in a box that is smaller than the book is.""",0,0,0,1,0,0,0,0
"""Someone applying makeup typically wants to be able to see whatever they are putting makeup on.""",0,0,1,0,0,0,1,0
"""Actions that are hostile do not express a feeling of good will.""",0,0,0,0,0,0,1,1
"""London, England is a city.""",0,0,0,0,0,0,1,1
"""You're likely to find silverware in the drawer of a bedroom dresser.""",0,0,0,0,0,0,1,1
"""Touching something that is too hot to touch causes pain.""",0,0,1,0,1,0,1,0
"""The temperature of liquid water is below freezing.""",0,0,0,0,1,0,1,0
"""Most TVs work without being plugged in.""",0,0,0,0,1,0,0,0
"""Objects are not usually found in places where they or their parts would melt.""",0,0,0,1,1,0,1,0
"""A bowling ball could be used as a volley ball in a pinch.""",0,0,0,0,1,0,0,1
"""You can't read a book using a flashlight during a power outage.""",1,0,0,0,1,0,1,0
"""To graduate from a kind of school, you must attend that kind of school.""",1,0,1,0,0,0,1,0
"""Animals don't live where they can't survive for very long.""",0,0,0,0,0,0,1,1
"""Very few airplane pilots know what the controls in the cockpit do.""",0,0,0,0,0,0,1,1
"""A professional singer who lost their vocal cords could still do their job.""",1,0,0,0,1,0,0,1
"""Things that are toxic to humans are typically not ingredients in human food.""",0,0,0,1,0,0,0,1
"""You can use grape soda to rub a stain out of white clothes.""",0,0,0,0,1,0,0,1
"""Stoves cannot be used to generate heat.""",0,0,0,0,1,0,0,1
"""If a body part is necessary for some activity, things that lack that part can't do that activity.""",0,0,0,0,0,0,1,0
"""Most cotton balls are dense, heavy objects.""",0,0,0,0,1,0,1,0
"""When a stove burner is off it is usually too hot to touch.""",0,1,0,0,1,0,0,0
"""Sand castles are typically intended to house humans.""",0,0,0,0,1,0,1,0
"""If a person is wearing a clothing item over the part of the body used to make a facial expression, then others' view of that expression is blocked.""",0,0,0,1,1,0,0,0
"""To function as a paperweight, an object must be at least somewhat heavy.""",0,0,0,0,1,0,1,1
"""Aquatic organisms don't have enough legs to ride a bicycle.""",0,0,0,0,1,0,1,1
"""You can usually eat the materials used to construct buildings intended to shelter humans.""",0,0,0,0,1,0,0,1
"""An observer who is outside an opaque container cannot see something that is completely inside that container.""",0,0,0,1,1,0,0,0
"""Adult animals are typically older than juvenile animals.""",0,0,0,0,0,0,1,1
"""If animals refuse to eat a kind of substance, they typically refuse to eat objects made of that kind of substance.""",0,0,0,0,1,0,0,1
"""Being served things for free typically makes customers happy.""",0,0,1,0,0,0,0,1
"""Milk is a type of dairy product.""",0,0,0,0,0,0,1,1
"""There are no devices that are designed to keep things cool.""",0,0,0,0,1,0,1,1
"""Almost anything which is solid, flat, and lightweight can be used as a tray to carry items smaller than it.""",0,0,0,1,1,0,1,1
"""If A can be stored inside B, then A is smaller than B.""",0,0,0,1,0,0,0,0
"""The sound a flying bee makes is the same as the sound a piano makes.""",0,0,0,0,1,0,0,1
"""A dream is not a physical object.""",0,0,0,0,0,0,1,0
"""Fish can breathe with gills.""",0,0,0,0,1,0,1,0
"""It is common to find books in libraries.""",0,0,0,0,0,0,1,1
"""Wood is never used in building homes.""",0,0,0,0,0,0,0,1
"""If you throw a very fragile object against something as tough as wood, it will probably be damaged.""",0,0,1,1,1,0,0,0
"""The sound of a balloon popping never startles anyone.""",0,0,0,0,1,0,0,0
"""Devices for bathing are typically not found outside rooms designed for bathing.""",0,0,0,1,0,0,0,1
"""Most people like to injure themselves.""",0,0,0,0,0,0,0,1
"""An open container can only hold a liquid if it is right side up.""",0,0,0,1,1,0,0,0
"""Chocolate milk and regular milk are different colors.""",0,0,0,0,0,0,0,1
"""Rooms in buildings typically aren't underwater.""",0,0,0,0,0,0,0,1
"""Clothing items usually aren't edible by humans.""",0,0,0,0,0,0,0,1
