sentence,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets
"""Drinking vessels can contain liquid.""",0,0,0,0,0,0,0,1
"""If part of a written work contains some information, then the work itself contains that information.""",0,0,0,0,0,0,0,1
"""You can ship a book in a box that is smaller than the book is.""",0,0,0,1,0,0,0,1
"""Actions that are hostile do not express a feeling of good will.""",0,0,0,0,0,0,1,1
"""London, England is a city.""",0,0,0,0,1,0,1,1
"""Most TVs work without being plugged in.""",0,0,0,0,1,0,1,1
"""Objects are not usually found in places where they or their parts would melt.""",0,0,0,0,0,0,1,1
"""You can't read a book using a flashlight during a power outage.""",0,0,1,0,0,0,0,0
"""To graduate from a kind of school, you must attend that kind of school.""",0,0,1,0,0,0,1,1
"""Very few airplane pilots know what the controls in the cockpit do.""",0,0,0,0,1,0,0,0
"""A professional singer who lost their vocal cords could still do their job.""",0,0,0,0,0,0,0,1
"""Things that are toxic to humans are typically not ingredients in human food.""",0,0,0,0,1,0,0,1
"""Stoves cannot be used to generate heat.""",0,0,0,0,0,0,1,1
"""If a body part is necessary for some activity, things that lack that part can't do that activity.""",0,0,0,0,0,0,1,1
"""Most cotton balls are dense, heavy objects.""",0,0,0,0,0,0,1,1
"""Milk is a type of dairy product.""",0,0,0,0,0,0,0,1
"""There are no devices that are designed to keep things cool.""",0,0,0,0,0,0,1,1
"""If A can be stored inside B, then A is smaller than B.""",0,0,0,1,0,1,0,1
"""A dream is not a physical object.""",0,0,0,0,0,0,0,1
"""Fish can breathe with gills.""",0,0,1,0,0,0,1,1
"""It is common to find books in libraries.""",0,0,0,1,1,0,0,1
"""If you throw a very fragile object against something as tough as wood, it will probably be damaged.""",0,0,1,0,1,0,0,0
"""Devices for bathing are typically not found outside rooms designed for bathing.""",0,0,0,1,1,0,0,0
"""Most people like to injure themselves.""",0,0,1,0,0,0,0,0
"""An open container can only hold a liquid if it is right side up.""",0,0,0,0,1,0,0,0
"""Rooms in buildings typically aren't underwater.""",0,0,0,0,0,0,0,1
"""Clothing items usually aren't edible by humans.""",0,0,0,0,0,0,0,1
